k;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value
;Endothelial Cells - Artery;;;;;;;;;;;;;;
1;chr3:193758380-193758567,; chr1:147245485..147245494,-,; 38.64435713817943;;;;;;;;;;;;
2;chr3:193758380-193758567, chr17:6962166-6962433; chr1:147245485..147245494,-, chr1:159749148..159749177,-; 47.378581493188335; chr3:193758380-193758567, chr17:6962166-6962433; chr1:147245485..147245494,-, chr12:6234045..6234103,-; 45.821218481822399; chr3:193758380-193758567, chr17:6962166-6962433; chr1:147245485..147245494,-, chr12:49488554..49488568,-; 45.113890261520737; chr3:193758380-193758567, chr17:6962166-6962433; chr1:147245485..147245494,-, chr7:81662303..81662321,-; 44.66095201518722; chr3:193758380-193758567, chr17:6962166-6962433; chr1:147245485..147245494,-, chr1:147253156..147253169,-; 43.463457747483538
3;chr3:193758380-193758567, chr17:6962166-6962433, chr9:140200723-140200951; chr1:147245485..147245494,-, chr7:134779508..134779514,-, chr1:147253156..147253169,-; 48.48145407461076; chr3:193758380-193758567, chr17:6962166-6962433, chr9:140200723-140200951; chr1:147245485..147245494,-, chr7:150690812..150690817,+, chr1:147253156..147253169,-; 39.317654326153047; chr3:193758380-193758567, chr17:6962166-6962433, chr9:140200723-140200951; chr1:147245485..147245494,-, chr7:134779508..134779514,-, chr9:130524452..130524471,-; 38.970377543676236; chr3:193758380-193758567, chr17:6962166-6962433, chr9:140200723-140200951; chr1:147245485..147245494,-, chr7:150690812..150690817,+, chr4:90857427..90857438,+; 38.886923433158557; chr3:193758380-193758567, chr17:6962166-6962433, chr9:140200723-140200951; chr1:147245485..147245494,-, chr7:134779508..134779514,-, chr18:33047008..33047009,-; 38.647329373930376
4;chr3:193758380-193758567, chr17:6962166-6962433, chr9:140200723-140200951, chr15:74956295-74956530; chr1:147245485..147245494,-, chr7:134779508..134779514,-, chr12:49488554..49488568,-, chr1:147253156..147253169,-; 58.830468010627321; chr3:193758380-193758567, chr17:6962166-6962433, chr9:140200723-140200951, chr15:74956295-74956530; chr1:147245485..147245494,-, chr7:134779508..134779514,-, chr7:150690812..150690817,+, chr1:147253156..147253169,-; 54.054574879770414; chr3:193758380-193758567, chr17:6962166-6962433, chr9:140200723-140200951, chr15:74956295-74956530; chr1:147245485..147245494,-, chr7:150690812..150690817,+, chr12:49488554..49488568,-, chr1:147253156..147253169,-; 53.83304641258195; chr3:193758380-193758567, chr17:6962166-6962433, chr9:140200723-140200951, chr15:74956295-74956530; chr1:147245485..147245494,-, chr7:150690812..150690817,+, chr12:49488554..49488568,-, chr4:90857427..90857438,+; 46.405327218616215; chr3:193758380-193758567, chr17:6962166-6962433, chr9:140200723-140200951, chr15:74956295-74956530; chr1:147245485..147245494,-, chr7:134779508..134779514,-, chr12:49488554..49488568,-, chr9:130524452..130524471,-; 45.786350619119069
;Endothelial Cells - Lymphatic;;;;;;;;;;;;;;
1;chr19:41999420-41999792,; chr4:127482106..127482117,-,; 60.308617958067899; chr19:41999420-41999792,; chr16:83806546..83806559,-,; 59.497897178945259; chr19:41999420-41999792,; chr9:126579213..126579224,-,; 56.209974019170083; chr19:41999420-41999792,; chr7:87338767..87338774,+,; 54.858772720632331; chr19:41999420-41999792,; chr16:77465319..77465330,-,; 51.705969690710937
2;chr19:41999420-41999792, chr8:6396937-6397050; chr4:127482106..127482117,-, chr7:79998864..79998896,+; 87.491537144506111; chr19:41999420-41999792, chr8:6396937-6397050; chr4:127482106..127482117,-, chr5:66144734..66144741,-; 81.851525282627094; chr19:41999420-41999792, chr8:6396937-6397050; chr4:127482106..127482117,-, chr16:77465450..77465462,-; 81.22485729797387; chr19:41999420-41999792, chr8:6396937-6397050; chr4:127482106..127482117,-, chr16:77465319..77465330,-; 80.610598580343478; chr19:41999420-41999792, chr8:6396937-6397050; chr4:127482106..127482117,-, chr16:77465428..77465441,-; 79.040826301954709
3;chr19:41999420-41999792, chr8:6396937-6397050, chr17:75223747-75224089; chr4:127482106..127482117,-, chr7:87338767..87338774,+, chr16:77465428..77465441,-; 88.240607566083142; chr19:41999420-41999792, chr8:6396937-6397050, chr17:75223747-75224089; chr4:127482106..127482117,-, chr16:83806546..83806559,-, chr7:87338767..87338774,+; 88.022550051504695; chr19:41999420-41999792, chr8:6396937-6397050, chr17:75223747-75224089; chr4:127482106..127482117,-, chr7:87338767..87338774,+, chr7:10196589..10196595,-; 86.493455381374275; chr19:41999420-41999792, chr8:6396937-6397050, chr17:75223747-75224089; chr4:127482106..127482117,-, chr16:83806546..83806559,-, chr1:212241481..212241492,+; 86.393848862369296; chr19:41999420-41999792, chr8:6396937-6397050, chr17:75223747-75224089; chr4:127482106..127482117,-, chr16:83806546..83806559,-, chr5:66144734..66144741,-; 85.742368386715128
4;chr19:41999420-41999792, chr8:6396937-6397050, chr17:75223747-75224089, chr9:14437606-14437932; chr4:127482106..127482117,-, chr16:83806546..83806559,-, chr7:87338767..87338774,+, chr16:77465450..77465462,-; 88.5836958169822; chr19:41999420-41999792, chr8:6396937-6397050, chr17:75223747-75224089, chr9:14437606-14437932; chr4:127482106..127482117,-, chr7:87338767..87338774,+, chr1:212241481..212241492,+, chr9:126579213..126579224,-; 88.479447126540578; chr19:41999420-41999792, chr8:6396937-6397050, chr17:75223747-75224089, chr9:14437606-14437932; chr4:127482106..127482117,-, chr16:83806546..83806559,-, chr1:212241481..212241492,+, chr7:10196589..10196595,-; 88.064081250562225; chr19:41999420-41999792, chr8:6396937-6397050, chr17:75223747-75224089, chr9:14437606-14437932; chr4:127482106..127482117,-, chr16:83806546..83806559,-, chr7:87338767..87338774,+, chr7:10196589..10196595,-; 87.943543702239097; chr19:41999420-41999792, chr8:6396937-6397050, chr17:75223747-75224089, chr9:14437606-14437932; chr4:127482106..127482117,-, chr16:83806546..83806559,-, chr1:212241481..212241492,+, chr1:212241433..212241451,+; 87.9109659864761
;Endothelial Cells - Microvascular;;;;;;;;;;;;;;
1;chr5:170172646-170172739,; chr7:80000596..80000626,+,; 75.081752155413881; chr5:170172646-170172739,; chr7:79998842..79998855,+,; 63.326300858135518; chr5:170172646-170172739,; chr4:38057520..38057536,-,; 58.326856053545875; chr5:170172646-170172739,; chr6:84849274..84849294,+,; 55.759573586324173; chr5:170172646-170172739,; chr7:36700899..36700923,-,; 53.552611465379186
2;chr5:170172646-170172739, chr20:62683158-62683348; chr4:38057520..38057536,-, chr7:80000596..80000626,+; 74.325304833276988; chr5:170172646-170172739, chr20:62683158-62683348; chr4:38057520..38057536,-, chrX:27354752..27354769,-; 72.581802816568512; chr5:170172646-170172739, chr20:62683158-62683348; chr4:38057520..38057536,-, chr7:36700899..36700923,-; 71.340876114284896; chr5:170172646-170172739, chr20:62683158-62683348; chr4:38057520..38057536,-, chr1:205538165..205538193,+; 70.906551768485627; chr5:170172646-170172739, chr20:62683158-62683348; chr4:38057520..38057536,-, chr2:73311401..73311431,-; 70.596320092914738
3;chr5:170172646-170172739, chr20:62683158-62683348, chr10:3306287-3306665; chr4:38057520..38057536,-, chr7:80000596..80000626,+, chrX:27354752..27354769,-; 75.219074257243562; chr5:170172646-170172739, chr20:62683158-62683348, chr10:3306287-3306665; chr4:38057520..38057536,-, chr6:84849274..84849294,+, chrX:27354752..27354769,-; 73.283477306849591; chr5:170172646-170172739, chr20:62683158-62683348, chr10:3306287-3306665; chr4:38057520..38057536,-, chr7:80000596..80000626,+, chr15:91643173..91643199,+; 72.648149239682709; chr5:170172646-170172739, chr20:62683158-62683348, chr10:3306287-3306665; chr4:38057520..38057536,-, chr6:84849274..84849294,+, chr1:205538165..205538193,+; 71.094825956821339; chr5:170172646-170172739, chr20:62683158-62683348, chr10:3306287-3306665; chr4:38057520..38057536,-, chr7:80000596..80000626,+, chr2:73311401..73311431,-; 69.444588223036206
4;chr5:170172646-170172739, chr20:62683158-62683348, chr10:3306287-3306665, chr15:74956295-74956530; chr4:38057520..38057536,-, chr7:80000596..80000626,+, chr6:84849274..84849294,+, chrX:27354752..27354769,-; 81.027294645752576; chr5:170172646-170172739, chr20:62683158-62683348, chr10:3306287-3306665, chr15:74956295-74956530; chr4:38057520..38057536,-, chr7:80000596..80000626,+, chr7:36700899..36700923,-, chrX:27354752..27354769,-; 79.561297436417235; chr5:170172646-170172739, chr20:62683158-62683348, chr10:3306287-3306665, chr15:74956295-74956530; chr4:38057520..38057536,-, chr6:84849274..84849294,+, chr7:36700899..36700923,-, chrX:27354752..27354769,-; 78.215837775405021; chr5:170172646-170172739, chr20:62683158-62683348, chr10:3306287-3306665, chr15:74956295-74956530; chr4:38057520..38057536,-, chr7:80000596..80000626,+, chr6:84849274..84849294,+, chr7:36700899..36700923,-; 71.558581559234398; chr5:170172646-170172739, chr20:62683158-62683348, chr10:3306287-3306665, chr15:74956295-74956530; chr4:38057520..38057536,-, chr6:84849274..84849294,+, chr7:36700899..36700923,-, chr2:73311401..73311431,-; 68.870920008786271
;Endothelial Cells - Umbilical vein;;;;;;;;;;;;;;
1;chr7:97995155-97995543,; chr11:59876093..59876098,-,; 59.407817092376071; chr7:97995155-97995543,; chr11:59875891..59875903,-,; 56.885574668438956; chr7:97995155-97995543,; chr1:78512351..78512380,-,; 41.3917997785395;;;;;;
2;chr7:97995155-97995543, chr7:51189835-51190140; chr11:59876093..59876098,-, chr11:59875891..59875903,-; 84.159648948874604; chr7:97995155-97995543, chr7:51189835-51190140; chr11:59876093..59876098,-, chr6:53976323..53976329,+; 81.497861172476263; chr7:97995155-97995543, chr7:51189835-51190140; chr11:59876093..59876098,-, chr7:102613997..102614016,+; 80.517529077672208; chr7:97995155-97995543, chr7:51189835-51190140; chr11:59876093..59876098,-, chr1:78512351..78512380,-; 79.785382323324882; chr7:97995155-97995543, chr7:51189835-51190140; chr11:59876093..59876098,-, chr1:172926077..172926120,-; 79.382081145082708
3;chr7:97995155-97995543, chr7:51189835-51190140, chr17:75223747-75224089; chr11:59876093..59876098,-, chr11:59875891..59875903,-, chr1:78512351..78512380,-; 87.371069575850541; chr7:97995155-97995543, chr7:51189835-51190140, chr17:75223747-75224089; chr11:59876093..59876098,-, chr11:59875891..59875903,-, chr7:102613997..102614016,+; 86.213480300927841; chr7:97995155-97995543, chr7:51189835-51190140, chr17:75223747-75224089; chr11:59876093..59876098,-, chr11:59875891..59875903,-, chr21:27284505..27284518,-; 85.618533254979212; chr7:97995155-97995543, chr7:51189835-51190140, chr17:75223747-75224089; chr11:59876093..59876098,-, chr11:59875891..59875903,-, chr5:63803524..63803561,+; 85.306253357558205; chr7:97995155-97995543, chr7:51189835-51190140, chr17:75223747-75224089; chr11:59876093..59876098,-, chr11:59875891..59875903,-, chr19:7861475..7861491,+; 85.22010717895931
4;chr7:97995155-97995543, chr7:51189835-51190140, chr17:75223747-75224089, chr17:6962166-6962433; chr11:59876093..59876098,-, chr11:59875891..59875903,-, chr6:53976323..53976329,+, chr12:6232421..6232447,-; 89.357416566353635; chr7:97995155-97995543, chr7:51189835-51190140, chr17:75223747-75224089, chr17:6962166-6962433; chr11:59876093..59876098,-, chr11:59875891..59875903,-, chr1:78512168..78512171,-, chr7:102613997..102614016,+; 87.715499691898032; chr7:97995155-97995543, chr7:51189835-51190140, chr17:75223747-75224089, chr17:6962166-6962433; chr11:59876093..59876098,-, chr11:59875891..59875903,-, chr6:53976323..53976329,+, chr7:102613997..102614016,+; 87.611251001456409; chr7:97995155-97995543, chr7:51189835-51190140, chr17:75223747-75224089, chr17:6962166-6962433; chr11:59876093..59876098,-, chr11:59875891..59875903,-, chr6:53976323..53976329,+, chr13:32828389..32828409,+; 87.316422673801185; chr7:97995155-97995543, chr7:51189835-51190140, chr17:75223747-75224089, chr17:6962166-6962433; chr11:59876093..59876098,-, chr11:59875891..59875903,-, chr1:78512168..78512171,-, chr5:63803524..63803561,+; 85.843909921313255
;Endothelial Cells - Vein;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr17:6962166-6962433, chr9:140200723-140200951; chrX:9734013..9734027,-, chr5:120649811..120649848,+; 49.103469609362556; chr17:6962166-6962433, chr9:140200723-140200951; chrX:9734013..9734027,-, chr12:50099511..50099528,+; 36.123376303475965; chr17:6962166-6962433, chr9:140200723-140200951; chrX:9734013..9734027,-, chr16:27253144..27253156,-; 31.749109677926228; chr17:6962166-6962433, chr9:140200723-140200951; chrX:9734013..9734027,-, chr11:64636982..64637008,+; 31.742905044414808; chr17:6962166-6962433, chr9:140200723-140200951; chrX:9734013..9734027,-, chr3:171871224..171871236,-; 31.612607740675035
3;chr17:6962166-6962433, chr9:140200723-140200951, chr2:20774723-20775061; chr20:36785352..36785360,-, chr3:171871224..171871236,-, chr5:120649811..120649848,+; 44.012621059792956; chr17:6962166-6962433, chr9:140200723-140200951, chr2:20774723-20775061; chr20:36785352..36785360,-, chr3:171871224..171871236,-, chr7:106720036..106720059,-; 42.99501932509348; chr17:6962166-6962433, chr9:140200723-140200951, chr2:20774723-20775061; chr20:36785352..36785360,-, chr3:171871224..171871236,-, chr15:95869424..95869438,+; 42.84426351254541; chr17:6962166-6962433, chr9:140200723-140200951, chr2:20774723-20775061; chr20:36785352..36785360,-, chr3:171871224..171871236,-, chr1:61415107..61415136,-; 42.273545079327711; chr17:6962166-6962433, chr9:140200723-140200951, chr2:20774723-20775061; chr20:36785352..36785360,-, chr3:171871224..171871236,-, chr19:7861475..7861491,+; 40.612539073217725
4;chr17:6962166-6962433, chr9:140200723-140200951, chr2:20774723-20775061, chr20:62676779-62676921; chr20:36785352..36785360,-, chr3:171871224..171871236,-, chr19:7861475..7861491,+, chr5:120649811..120649848,+; 54.904853261184904; chr17:6962166-6962433, chr9:140200723-140200951, chr2:20774723-20775061, chr20:62676779-62676921; chr20:36785352..36785360,-, chr3:171871224..171871236,-, chr7:150690812..150690817,+, chr5:120649811..120649848,+; 49.190721916353368; chr17:6962166-6962433, chr9:140200723-140200951, chr2:20774723-20775061, chr20:62676779-62676921; chr20:36785352..36785360,-, chr3:171871224..171871236,-, chr19:7861475..7861491,+, chr16:27253144..27253156,-; 48.539167601093219; chr17:6962166-6962433, chr9:140200723-140200951, chr2:20774723-20775061, chr20:62676779-62676921; chr20:36785352..36785360,-, chr3:171871224..171871236,-, chr19:7861475..7861491,+, chr10:50153735..50153750,+; 45.85802159379768; chr17:6962166-6962433, chr9:140200723-140200951, chr2:20774723-20775061, chr20:62676779-62676921; chr20:36785352..36785360,-, chr3:171871224..171871236,-, chr19:7861475..7861491,+, chr19:42007093..42007107,-; 45.317231512131762
;Fibroblast - Aortic Adventitial;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chrX:67382331-67382438, chr5:56704615-56704811; chr7:37946828..37946847,-, chr2:166060571..166060582,-; 36.092353135918877; chrX:67382331-67382438, chr5:56704615-56704811; chr7:37946828..37946847,-, chr4:66535296..66535321,+; 35.962055832179097; chrX:67382331-67382438, chr5:56704615-56704811; chr7:37946828..37946847,-, chr1:215157211..215157225,+; 35.28575077943453; chrX:67382331-67382438, chr5:56704615-56704811; chr7:37946828..37946847,-, chr3:141106458..141106491,+; 33.399542191963434; chrX:67382331-67382438, chr5:56704615-56704811; chr7:37946828..37946847,-, chr3:170464281..170464285,+; 31.991090384871534
3;chrX:67382331-67382438, chr5:56704615-56704811, chr3:194242291-194242478; chr7:37946828..37946847,-, chr7:37947182..37947207,-, chr1:215178726..215178743,+; 43.283070609783543; chrX:67382331-67382438, chr5:56704615-56704811, chr3:194242291-194242478; chr7:37946828..37946847,-, chr7:37947182..37947207,-, chr2:166060571..166060582,-; 43.089241707936019; chrX:67382331-67382438, chr5:56704615-56704811, chr3:194242291-194242478; chr7:37946828..37946847,-, chr8:123706338..123706351,-, chr2:166060571..166060582,-; 39.61647388316797; chrX:67382331-67382438, chr5:56704615-56704811, chr3:194242291-194242478; chr7:37946828..37946847,-, chr8:123706338..123706351,-, chr1:215157211..215157225,+; 38.674250054742529; chrX:67382331-67382438, chr5:56704615-56704811, chr3:194242291-194242478; chr7:37946828..37946847,-, chr8:123706338..123706351,-, chr1:215178726..215178743,+; 37.729334158235872
4;chrX:67382331-67382438, chr5:56704615-56704811, chr3:194242291-194242478, chr5:163787570-163787906; chr7:37946828..37946847,-, chr7:37947182..37947207,-, chr1:215157211..215157225,+, chr2:166060571..166060582,-; 48.348587963879616; chrX:67382331-67382438, chr5:56704615-56704811, chr3:194242291-194242478, chr5:163787570-163787906; chr7:37946828..37946847,-, chr8:123706338..123706351,-, chr1:215157211..215157225,+, chr2:166060571..166060582,-; 46.110498890960997; chrX:67382331-67382438, chr5:56704615-56704811, chr3:194242291-194242478, chr5:163787570-163787906; chr7:37946828..37946847,-, chr8:123706338..123706351,-, chr1:215157211..215157225,+, chr1:215178726..215178743,+; 45.585997667176578; chrX:67382331-67382438, chr5:56704615-56704811, chr3:194242291-194242478, chr5:163787570-163787906; chr7:37946828..37946847,-, chr7:37947182..37947207,-, chr8:123706338..123706351,-, chr1:215178726..215178743,+; 44.934443351916428; chrX:67382331-67382438, chr5:56704615-56704811, chr3:194242291-194242478, chr5:163787570-163787906; chr7:37946828..37946847,-, chr7:37947182..37947207,-, chr1:215157211..215157225,+, chr1:215178726..215178743,+; 43.61667474930276
;Fibroblast - Choroid Plexus;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr2:1999873-1999971, chr6:129504822-129504957; chr11:22688150..22688192,+, chr14:57280023..57280057,+; 43.463457747483538; chr2:1999873-1999971, chr6:129504822-129504957; chr11:22688150..22688192,+, chr14:57277098..57277116,-; 41.304245285510042; chr2:1999873-1999971, chr6:129504822-129504957; chr11:22688150..22688192,+, chr12:108732917..108732935,-; 41.02503677749624; chr2:1999873-1999971, chr6:129504822-129504957; chr11:22688150..22688192,+, chr14:87636652..87636657,-; 40.88233020673362; chr2:1999873-1999971, chr6:129504822-129504957; chr11:22688150..22688192,+, chr11:2179605..2179621,-; 36.166808738055892
3;chr2:1999873-1999971, chr6:129504822-129504957, chr18:33071303-33071471; chr11:22688150..22688192,+, chr14:57277098..57277116,-, chr11:2179605..2179621,-; 55.992324021202137; chr2:1999873-1999971, chr6:129504822-129504957, chr18:33071303-33071471; chr11:22688150..22688192,+, chr14:57280023..57280057,+, chr11:2179605..2179621,-; 55.394684907172284; chr2:1999873-1999971, chr6:129504822-129504957, chr18:33071303-33071471; chr11:22688150..22688192,+, chr14:57277098..57277116,-, chr14:57280023..57280057,+; 54.358238695904291; chr2:1999873-1999971, chr6:129504822-129504957, chr18:33071303-33071471; chr11:22688150..22688192,+, chr14:57277098..57277116,-, chr14:87636652..87636657,-; 54.113260500513682; chr2:1999873-1999971, chr6:129504822-129504957, chr18:33071303-33071471; chr11:22688150..22688192,+, chr14:57277098..57277116,-, chr14:76072096..76072107,+; 53.558694475783277
4;chr2:1999873-1999971, chr6:129504822-129504957, chr18:33071303-33071471, chr10:21291623-21291954; chr11:22688150..22688192,+, chr14:57280023..57280057,+, chr14:87636652..87636657,-, chr14:76072096..76072107,+; 66.108329712083233; chr2:1999873-1999971, chr6:129504822-129504957, chr18:33071303-33071471, chr10:21291623-21291954; chr11:22688150..22688192,+, chr14:57277098..57277116,-, chr14:57280023..57280057,+, chr14:87636652..87636657,-; 64.930645287250513; chr2:1999873-1999971, chr6:129504822-129504957, chr18:33071303-33071471, chr10:21291623-21291954; chr11:22688150..22688192,+, chr14:57277098..57277116,-, chr14:87636652..87636657,-, chr14:76072096..76072107,+; 64.492475010238053; chr2:1999873-1999971, chr6:129504822-129504957, chr18:33071303-33071471, chr10:21291623-21291954; chr11:22688150..22688192,+, chr14:57277098..57277116,-, chr14:57280023..57280057,+, chr11:2179605..2179621,-; 63.933767184902464; chr2:1999873-1999971, chr6:129504822-129504957, chr18:33071303-33071471, chr10:21291623-21291954; chr11:22688150..22688192,+, chr14:57277098..57277116,-, chr14:57280023..57280057,+, chr14:76072096..76072107,+; 63.537947938381919
;Fibroblast - Lung;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr1:92031978-92032064, chr5:114750887-114751289; chr2:167350710..167350728,-, chr17:59479775..59479790,+; 30.899074886861953; chr1:92031978-92032064, chr5:114750887-114751289; chr2:167350710..167350728,-, chr15:33384526..33384543,-; 30.632275645870976; chr1:92031978-92032064, chr5:114750887-114751289; chr2:167350710..167350728,-, chr5:122424955..122424988,+; 29.76983158778387; chr1:92031978-92032064, chr5:114750887-114751289; chr2:167350710..167350728,-, chr15:33384583..33384602,-; 29.397553577098783; chr1:92031978-92032064, chr5:114750887-114751289; chr2:167350710..167350728,-, chr12:114845810..114845824,-; 28.566132686568764
3;chr1:92031978-92032064, chr5:114750887-114751289, chr11:124940571-124941111; chr17:59479775..59479790,+, chr2:167350710..167350728,-, chr12:114845810..114845824,-; 48.777581563544473; chr1:92031978-92032064, chr5:114750887-114751289, chr11:124940571-124941111; chr17:59479775..59479790,+, chr2:167350710..167350728,-, chr5:122424955..122424988,+; 48.056107317778704; chr1:92031978-92032064, chr5:114750887-114751289, chr11:124940571-124941111; chr17:59479775..59479790,+, chr2:167350710..167350728,-, chr12:114845970..114846000,+; 46.047824529191914; chr1:92031978-92032064, chr5:114750887-114751289, chr11:124940571-124941111; chr17:59479775..59479790,+, chr2:167350710..167350728,-, chr7:99332815..99332820,-; 45.964370418674228; chr1:92031978-92032064, chr5:114750887-114751289, chr11:124940571-124941111; chr17:59479775..59479790,+, chr2:167350710..167350728,-, chr15:33384583..33384602,-; 44.238754778615061
4;chr1:92031978-92032064, chr5:114750887-114751289, chr11:124940571-124941111, chr20:39938508-39938643; chr17:59479775..59479790,+, chr2:167350710..167350728,-, chr5:163109556..163109569,+, chr12:114845810..114845824,-; 51.954941098844564; chr1:92031978-92032064, chr5:114750887-114751289, chr11:124940571-124941111, chr20:39938508-39938643; chr17:59479775..59479790,+, chr15:33384526..33384543,-, chr2:167350710..167350728,-, chr12:114845970..114846000,+; 51.177962577896828; chr1:92031978-92032064, chr5:114750887-114751289, chr11:124940571-124941111, chr20:39938508-39938643; chr17:59479775..59479790,+, chr2:167350710..167350728,-, chr5:163109556..163109569,+, chr12:114845970..114846000,+; 47.91041768686717; chr1:92031978-92032064, chr5:114750887-114751289, chr11:124940571-124941111, chr20:39938508-39938643; chr17:59479775..59479790,+, chr15:33384526..33384543,-, chr5:163109556..163109569,+, chr12:114845810..114845824,-; 47.10249033594458; chr1:92031978-92032064, chr5:114750887-114751289, chr11:124940571-124941111, chr20:39938508-39938643; chr17:59479775..59479790,+, chr15:33384526..33384543,-, chr2:167350710..167350728,-, chr12:114843940..114843955,-; 46.641515657898019
;Fibroblast - Lymphatic;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr1:78298815-78299027, chr10:44289212-44289448; chr10:101292684..101292706,+, chr9:134165195..134165202,+; 30.377885671902838; chr1:78298815-78299027, chr10:44289212-44289448; chr10:101292684..101292706,+, chr19:1169228..1169235,-; 27.982897136495467; chr1:78298815-78299027, chr10:44289212-44289448; chr10:101292684..101292706,+, chr20:30307655..30307679,-; 22.96334862575825; chr1:78298815-78299027, chr10:44289212-44289448; chr19:1169228..1169235,-, chr4:151503383..151503398,+; 22.200178703853833; chr1:78298815-78299027, chr10:44289212-44289448; chr10:101292684..101292706,+, chr7:22767374..22767408,-; 21.250869776606869
3;chr1:78298815-78299027, chr10:44289212-44289448, chr18:10057757-10058101; chr19:1169228..1169235,-, chr10:101292684..101292706,+, chr9:134165195..134165202,+; 42.68543149575369; chr1:78298815-78299027, chr10:44289212-44289448, chr18:10057757-10058101; chr19:1169228..1169235,-, chr10:101292684..101292706,+, chr4:151503383..151503398,+; 38.620408693118222; chr1:78298815-78299027, chr10:44289212-44289448, chr18:10057757-10058101; chr19:1169228..1169235,-, chr10:101292684..101292706,+, chr18:10057784..10057804,-; 33.144742215925795; chr1:78298815-78299027, chr10:44289212-44289448, chr18:10057757-10058101; chr19:1169228..1169235,-, chr10:101292684..101292706,+, chr19:49951425..49951447,-; 33.109745330869991; chr1:78298815-78299027, chr10:44289212-44289448, chr18:10057757-10058101; chr19:1169228..1169235,-, chr10:101292684..101292706,+, chr12:10321791..10321810,-; 32.600944463520257
4;chr1:78298815-78299027, chr10:44289212-44289448, chr18:10057757-10058101, chr4:124941316-124941540; chr19:1169228..1169235,-, chr10:101292684..101292706,+, chr4:151503383..151503398,+, chr9:134165195..134165202,+; 45.092445273367005; chr1:78298815-78299027, chr10:44289212-44289448, chr18:10057757-10058101, chr4:124941316-124941540; chr19:1169228..1169235,-, chr10:101292684..101292706,+, chr18:10057784..10057804,-, chr9:134165195..134165202,+; 39.53468696419791; chr1:78298815-78299027, chr10:44289212-44289448, chr18:10057757-10058101, chr4:124941316-124941540; chr19:1169228..1169235,-, chr10:101292684..101292706,+, chr4:151503383..151503398,+, chr19:49951425..49951447,-; 39.314787382797611; chr1:78298815-78299027, chr10:44289212-44289448, chr18:10057757-10058101, chr4:124941316-124941540; chr19:1169228..1169235,-, chr10:101292684..101292706,+, chr4:151503383..151503398,+, chr13:94958004..94958025,+; 37.723365967774683; chr1:78298815-78299027, chr10:44289212-44289448, chr18:10057757-10058101, chr4:124941316-124941540; chr19:1169228..1169235,-, chr10:101292684..101292706,+, chr18:10057784..10057804,-, chr4:151503383..151503398,+; 36.231306585828939
;Fibroblast - Mammary;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;No VEnCode;;;;;;;;;;;;;;
3;chr6:6008887-6009261, chr19:2095281-2095723, chr5:38446340-38446486; chr19:46732988..46733005,+, chr18:37550388..37550448,+, chr17:10195132..10195137,+; 18.777174866478429; chr6:6008887-6009261, chr19:2095281-2095723, chr5:38446340-38446486; chr19:46732988..46733005,+, chr18:37550388..37550448,+, chr4:1188924..1188945,-; 18.586038032712128; chr6:6008887-6009261, chr19:2095281-2095723, chr5:38446340-38446486; chr19:46732988..46733005,+, chr18:37550388..37550448,+, chr1:156030937..156030983,+; 17.482290119413751; chr6:6008887-6009261, chr19:2095281-2095723, chr5:38446340-38446486; chr19:46732988..46733005,+, chr18:37550388..37550448,+, chr3:104628747..104628762,-; 17.406912213139716; chr6:6008887-6009261, chr19:2095281-2095723, chr5:38446340-38446486; chr19:46732988..46733005,+, chr18:37550388..37550448,+, chr1:173174681..173174702,-; 15.439010445771153
4;chr6:6008887-6009261, chr19:2095281-2095723, chr5:38446340-38446486, chr2:238223884-238224369; chr19:46732988..46733005,+, chr18:37550388..37550448,+, chr17:10195132..10195137,+, chr3:104628747..104628762,-; 26.423785255375488; chr6:6008887-6009261, chr19:2095281-2095723, chr5:38446340-38446486, chr2:238223884-238224369; chr19:46732988..46733005,+, chr18:37550388..37550448,+, chr4:1188924..1188945,-, chr1:156030937..156030983,+; 24.736259578851694; chr6:6008887-6009261, chr19:2095281-2095723, chr5:38446340-38446486, chr2:238223884-238224369; chr19:46732988..46733005,+, chr18:37550388..37550448,+, chr17:10195132..10195137,+, chr1:156030937..156030983,+; 23.152982592769519; chr6:6008887-6009261, chr19:2095281-2095723, chr5:38446340-38446486, chr2:238223884-238224369; chr19:46732988..46733005,+, chr18:37550388..37550448,+, chr4:1188924..1188945,-, chr17:10195132..10195137,+; 23.104116019125012; chr6:6008887-6009261, chr19:2095281-2095723, chr5:38446340-38446486, chr2:238223884-238224369; chr19:46732988..46733005,+, chr18:37550388..37550448,+, chr17:10195132..10195137,+, chr5:33794876..33794902,-; 21.462199144669427
;Fibroblast - Villous Mesenchymal;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
